Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Last Close,Last Yr`s EPS (F0) Before NRI,F1 Consensus Est.,F2 Consensus Est.
"Agilent Technologies","A","35496.73","NYSE","10","Medical","Medical - Products","124.96","5.29","5.58","6.08"
"Alcoa","AA","8264.16","NYSE","12","Industrial Products","Metal Products - Distribution","31.92","1.35","3.41","2.46"
"AAC Technologies","AACAY","6567.74","OTC","12","Computer and Technology","Electronics - Miscellaneous Components","5.5901",".21",".3",".37"
"ATA","AACG","71.16","NSDQ","12","Consumer Discretionary","Schools","2.23","-.15","",""
"Armada Acquisition Corp. II","AACI","325.06","NSDQ","12","Unclassified","Unclassified","10.29","","",""
"Ares Acquisition Corporation II","AACT","703.34","NYSE","12","Auto-Tires-Trucks","Automotive - Original Equipment","11.37",".42","",""
"AIA","AAGIY","98400.28","OTC","12","Finance","Insurance - Life Insurance","37.47","2.48","2.64","3.08"
"American Airlines","AAL","8742.73","NSDQ","12","Transportation","Transportation - Airline","13.25","1.96",".42","1.66"
"AA Mission Acquisition Corp.","AAM","460.85","NYSE","12","Unclassified","Unclassified","10.48","","",""
"Atlantic American","AAME","68.33","NSDQ","12","Finance","Insurance - Accident and Health","3.35","-.27","",""
"Acadian Asset Management Inc.","AAMI","1836.08","NYSE","12","Finance","Financial - Miscellaneous Services","51.27","2.76","3.72","4.5"
"Applied Optoelectronics","AAOI","1589.72","NSDQ","12","Computer and Technology","Electronics - Semiconductors","25.49","-.79","-.27",".64"
"AAON","AAON","6939.89","NSDQ","12","Construction","Building Products - Air Conditioner and Heating","85.12","2.02","1.34","2.07"
"Advance Auto Parts","AAP","3630.29","NYSE","12","Retail-Wholesale","Automotive - Retail and Wholesale - Parts","60.52","-.29","1.85","3.12"
"Ascentage Pharma Group International - Unsponsored ADR","AAPG","3823.83","NSDQ","12","Medical","Medical - Biomedical and Genetics","41.1327","-.72","-1.13","1.06"
"Apple","AAPL","3451281","NSDQ","9","Computer and Technology","Computer - Micro Computers","232.56","6.75","7.35","7.81"
"Aardvark Therapeutics, Inc.","AARD","184.21","NSDQ","12","Medical","Medical - Biomedical and Genetics","8.49","-5.15","-2.56","-3.16"
"American Assets Trust","AAT","1276.25","NYSE","12","Finance","REIT and Equity Trust - Retail","20.87","2.58","1.99","2.03"
"Autoscope Technologies","AATC","39.83","OTC","12","Business Services","Technology Services","7.2536",".82","",""
"Almaden Minerals","AAUAF","26.1","OTC","12","Basic Materials","Mining - Gold",".19","-.01","",""
"Allied Gold Corporation","AAUC","1598.48","NYSE","12","Basic Materials","Mining - Gold","13.85",".14","1.36","3.92"
"Advantage Oil & Gas","AAVVF","1347.65","OTC","12","Oils-Energy","Alternative Energy - Other","8.072",".1",".51",".82"
"Ascend Wellness Holdings, Inc.","AAWH","159.46","OTC","12","Medical","Medical Services",".78","-.4","-.31","-.25"
"AllianceBernstein","AB","4391.65","NYSE","12","Finance","Financial - Investment Management","39.73","3.25","3.32","3.69"
"American Battery Technology Company","ABAT","231.55","NSDQ","6","Computer and Technology","Electronics - Miscellaneous Products","2.52","-.83","",""
"ABB","ABBNY","124905.73","OTC","12","Industrial Products","Manufacturing - Electronics","67.74","2.13","2.45","2.73"
"AbbVie","ABBV","367302.78","NYSE","12","Medical","Large Cap Pharmaceuticals","207.92","10.12","12.02","14.34"
"Ameris Bancorp","ABCB","5047.31","NYSE","12","Finance","Banks - Southeast","73.59","5.02","5.69","5.98"
"ABCELLERA BIOLG","ABCL","1284.98","NSDQ","12","Medical","Medical - Biomedical and Genetics","4.3","-.55","-.61","-.49"
"Abeona Therapeutics","ABEO","352.8","NSDQ","12","Medical","Medical - Biomedical and Genetics","6.88","-1.53","1.3",".13"
"Ambev","ABEV","35139.57","NYSE","12","Consumer Staples","Beverages - Alcohol","2.23",".18",".17",".18"
"Asbury Automotive Group","ABG","5073.23","NYSE","12","Retail-Wholesale","Automotive - Retail and Whole Sales","258.04","27.24","27.25","26.65"
"Abacus Life, Inc.","ABL","670.58","NSDQ","12","Finance","Insurance - Life Insurance","6.93",".66",".77",".96"
"American Biltrite","ABLT","2.38","OTC","12","Construction","Building Products - Miscellaneous","73.55","-81.71","",""
"Able View Global Inc.","ABLV","44.39","NSDQ","12","Business Services","Business - Services",".8988","-.17","",""
"ABM Industries","ABM","3054.38","NYSE","10","Business Services","Business - Services","49.06","3.57","3.74","4.12"
"Airbnb","ABNB","81072.5","NSDQ","12","Consumer Discretionary","Leisure and Recreation Services","130.46","4.11","4.22","4.73"
"Acumen Pharmaceuticals","ABOS","79.35","NSDQ","12","Medical","Medical - Biomedical and Genetics","1.31","-1.71","-2.24","-1.58"
"Abpro Holdings Inc.","ABP","19.54","NSDQ","12","Medical","Medical - Biomedical and Genetics",".2437","-.74","",""
"Arbor Realty Trust","ABR","2273","NYSE","12","Finance","REIT and Equity Trust","11.82","1.74","1.1","1.26"
"ABSCI CORP","ABSI","369.32","NSDQ","12","Medical","Medical - Biomedical and Genetics","2.47","-.94","-.78","-.39"
"Abbott Laboratories","ABT","228644.09","NYSE","12","Medical","Medical - Products","131.37","4.67","5.15","5.68"
"ABITS GROUP","ABTS","8.7","NSDQ","12","Business Services","Advertising and Marketing","3.67","-.39","",""
"Arbutus Biopharma","ABUS","703.53","NSDQ","12","Medical","Medical - Biomedical and Genetics","3.67","-.38","-.19","-.17"
"ABVC BIOPHARMA","ABVC","72.51","NSDQ","12","Medical","Medical - Biomedical and Genetics","3.08","-.42","",""
"Above Food Ingredients Inc.","ABVE","54.22","NSDQ","1","Consumer Staples","Food - Miscellaneous","1.95","-.51","",""
"Abivax SA Sponsored ADR","ABVX","6169.82","NSDQ","12","Medical","Medical - Biomedical and Genetics","81.64","-3.03","-3.4","-3.03"
"Associated Capital Group","AC","700.31","NYSE","12","Finance","Financial - Investment Management","33.2","2.08","",""
"Arcosa","ACA","4863.29","NYSE","12","Construction","Building Products - Miscellaneous","99.16","3.02","3.86","4.86"
"ACADIA Pharmaceuticals","ACAD","4425.32","NSDQ","12","Medical","Medical - Biomedical and Genetics","26.23",".67",".52",".79"
"Aurora Cannabis","ACB","317.27","NSDQ","3","Medical","Medical - Products","5.62",".28","-.31","-.07"
"Acco Brands","ACCO","358.73","NYSE","12","Industrial Products","Office Supplies","3.98","1.02",".86","1.08"
"ACCESS Newswire Inc.","ACCS","41.01","AMEX","12","Consumer Discretionary","Media Conglomerates","10.6",".21",".54",""
"ProFrac Holding Corp.","ACDC","677.98","NSDQ","12","Oils-Energy","Oil and Gas - Field Services","4.23","-1.38","-1.1","-1.05"
"Air Canada","ACDVF","4190.84","OTC","12","Transportation","Transportation - Airline","14.15","2.59","1.4","1.97"
"Accel Entertainment","ACEL","974.44","NYSE","12","Consumer Discretionary","Gaming","11.56",".91",".9",".73"
"Adicet Bio","ACET","63.16","NSDQ","12","Medical","Medical - Biomedical and Genetics",".7586","-1.33","-1.1","-1"
"Acorn Energy","ACFN","67.84","NSDQ","12","Computer and Technology","Electronics - Miscellaneous Products","27.12",".74","",""
"Agri Bank China","ACGBY","238688.42","OTC","12","Finance","Banks - Foreign","17.05","2.6","",""
"Arch Capital Group","ACGL","34037.69","NSDQ","12","Finance","Insurance - Property and Casualty","91.2","9.28","8.12","9.34"
"Acadia Healthcare","ACHC","2088.88","NSDQ","12","Medical","Medical - Hospital","22.62","3.3","2.54","3"
"Arch Biopartners Inc.","ACHFF","79.09","OTC","9","Medical","Medical - Drugs","1.2","-.05","",""
"Archer Aviation","ACHR","5934.24","NYSE","12","Aerospace","Aerospace - Defense","9.2","-1.13","-.78","-.76"
"Achieve Life Sciences","ACHV","161.49","NSDQ","12","Medical","Medical - Drugs","3.16","-1.24","-1.16","-1.05"
"Albertsons Companies","ACI","10782.64","NYSE","2","Consumer Staples","Consumer Products - Staples","19.26","2.34","2.11","2.2"
"American Coastal Insurance Corporation","ACIC","530.08","NSDQ","12","Finance","Insurance - Property and Casualty","10.87","1.56","1.35","1.4"
"AC Immune","ACIU","205.84","NSDQ","12","Medical","Medical - Biomedical and Genetics","2.05","-.58","-.93","-.74"
"ACI Worldwide","ACIW","5077.05","NSDQ","12","Computer and Technology","Computer - Software","49.2","2.64","2.86","3.29"
"Accelleron Industries AG - Unsponsored ADR","ACLLY","8157.24","OTC","12","Industrial Products","Manufacturing - General Industrial ","86.32","","",""
"Axcelis Technologies","ACLS","2576.66","NSDQ","12","Computer and Technology","Electronics - Manufacturing Machinery","82.01","6.15","4.13","4.32"
"Arcellx","ACLX","3895.99","NSDQ","12","Medical","Medical - Biomedical and Genetics","70.25","-2","-3.91","-3.07"
"AECOM","ACM","16653.77","NYSE","9","Construction","Engineering - R and D Services","125.74","4.52","5.24","5.76"
"ACM Research","ACMR","1732.77","NSDQ","12","Computer and Technology","Semiconductor Equipment - Material Services","29.29","2.26","2","2"
"Acmat","ACMT","25.45","OTCBB","12","Finance","Insurance - Multi line","33","-.19","",""
"Acmat","ACMTA","29.42","OTC","12","Finance","Insurance - Multi line","38.15","","",""
"Accenture","ACN","160446.75","NYSE","8","Computer and Technology","Computers - IT Services","256.17","11.95","12.88","13.65"
"ACNB","ACNB","482.24","NSDQ","12","Finance","Banks - Southwest","46.07","3.73","4.66","4.66"
"Ascent Industries Co.","ACNT","111.85","NSDQ","12","Industrial Products","Manufacturing - General Industrial ","11.94","-.5","",""
"Alpha Cognition Inc.","ACOG","130.26","NSDQ","12","Medical","Medical - Biomedical and Genetics","8.06","-2.02","-1.45","-1.13"
"Aclarion","ACON","4.1","NSDQ","12","Medical","Medical Services","7.04","-7480","-14.1","-12.13"
"ACRES Commercial Realty","ACR","154.47","NYSE","12","Finance","REIT and Equity Trust","20.8","1.38","",""
"Ares Commercial Real Estate","ACRE","256.88","NYSE","12","Finance","REIT and Equity Trust","4.67","-.82","-.55","0"
"American Clean Resources Group, Inc.","ACRG","27.83","OTC","12","Basic Materials","Mining - Miscellaneous","2","-.43","",""
"Aclaris Therapeutics","ACRS","199.33","NSDQ","12","Medical","Medical - Drugs","1.84","-.8","-.52","-.54"
"Acrivon Therapeutics, Inc.","ACRV","41.84","NSDQ","12","Medical","Medical - Drugs","1.33","-2.38","-2.18","-2.15"
"Enact Holdings","ACT","5543.26","NSDQ","12","Finance","Insurance - Multi line","37.58","4.56","4.42","4.59"
"Acacia Research","ACTG","316.34","NSDQ","12","Business Services","Business - Services","3.28",".14","",""
"Actuate Therapeutics, Inc.","ACTU","170.52","NSDQ","12","Medical","Medical - Biomedical and Genetics","8.22","-3.26","-1.13","-1.1"
"Acme United","ACU","162.95","AMEX","12","Consumer Discretionary","Consumer Products - Discretionary","42.89","2.45","2.53","2.61"
"ACV Auctions","ACVA","2011.93","NYSE","12","Business Services","Auction and Valuation Services","11.69",".07",".24",".51"
"iShares MSCI ACWI ETF","ACWI","22173.14","NSDQ","12","Finance","Financial - Investment Funds","134.22","","",""
"Acurx Pharmaceuticals","ACXP","7.56","NSDQ","12","Medical","Medical - Biomedical and Genetics","4.77","-17.4","-7.14","-6.03"
"Array Digital Infrastructure Inc.","AD","4647.44","NYSE","12","Computer and Technology","Wireless National","54.04","-.46","1.05","1.17"
"Adagene","ADAG","104.58","NSDQ","12","Medical","Medical - Biomedical and Genetics","2.22","-.51","-.62","-.76"
"Adaptimmune Therapeutics","ADAP","18.26","NSDQ","12","Medical","Medical - Biomedical and Genetics",".0689","-.25","-.5","-.21"
"Adobe","ADBE","150149.83","NSDQ","11","Computer and Technology","Computer - Software","353.96","18.42","20.63","23.27"
"Agree Realty","ADC","8041","NYSE","12","Finance","REIT and Equity Trust - Retail","72.66","4.14","4.3","4.52"
"","ADCOF","11.53","OTC","12","Business Services","Advertising and Marketing",".19","-.01","",""
"ADC Therapeutics","ADCT","365.62","NYSE","12","Medical","Medical - Biomedical and Genetics","3.25","-1.62","-1.52","-1.4"
"Adidas","ADDYY","35309.87","OTC","12","Consumer Discretionary","Shoes and Retail Apparel ","98.88","2.3","4.26","5.93"
"ADEIA INC","ADEA","1693.03","NSDQ","12","Business Services","Technology Services","15.48","1.26","1.4","1.52"
"Adagio Medical Holdings, Inc.","ADGM","26.46","NSDQ","12","Medical","Medical - Instruments","1.72","","",""
"Analog Devices","ADI","125079.66","NSDQ","10","Computer and Technology","Semiconductor - Analog and Mixed","254.25","6.38","7.69","9.22"
"Adial Pharmaceuticals","ADIL","8.49","NSDQ","12","Medical","Medical - Biomedical and Genetics",".3888","-1.8","-.54",""
"Archer Daniels Midland","ADM","30105.9","NYSE","12","Consumer Staples","Agriculture - Operations","62.66","4.74","4.02","4.82"
"ADMA Biologics","ADMA","4147.4","NSDQ","12","Medical","Medical - Biomedical and Genetics","17.38",".49",".57",".88"
"Advent Technologies Holdings","ADN","13.91","NSDQ","12","Industrial Products","Manufacturing - Electronics","5.21","-11.48","",""
"Adient","ADNT","2037.65","NYSE","9","Auto-Tires-Trucks","Automotive - Original Equipment","25.08","1.84","1.88","2.2"
"Adocia","ADOCY","215.7","OTC","12","Medical","Medical - Biomedical and Genetics","11.8","-.65","",""
"Automatic Data Processing","ADP","123173.62","NSDQ","6","Computer and Technology","Internet - Software","304.1","10.01","10.95","11.94"
"Adaptive Biotechnologies","ADPT","2026.77","NSDQ","12","Medical","Medical - Biomedical and Genetics","13.31","-1.08","-.71","-.6"
"Ahold","ADRNY","36355.62","OTC","12","Consumer Staples","Consumer Products - Staples","39.93","2.75","3.03","3.23"
"Andritz","ADRZY","7645.3","OTC","12","Industrial Products","Industrial Services","14.7025","1.09","1.16","1.29"
"ADS-TEC Energy","ADSE","678.3","NSDQ","12","Business Services","Technology Services","12.59","-2.07","-.32","-.55"
"Autodesk","ADSK","61736.86","NSDQ","1","Computer and Technology","Internet - Software","288.49","8.47","9.64","11.08"
"ADT","ADT","7215.44","NYSE","12","Industrial Products","Security and Safety Services","8.68",".75",".86",".92"
"ADTRAN Holdings, Inc.","ADTN","755.79","NSDQ","12","Business Services","Technology Services","9.45","-.36",".19",".52"
"Aditxt, Inc.","ADTX","5.23","NSDQ","12","Medical","Medical - Drugs","1.05","-1081500","",""
"Aduro Clean Technologies Inc.","ADUR","357.47","NSDQ","5","Business Services","Technology Services","11.67","-.32","",""
"Addus HomeCare","ADUS","2125.6","NSDQ","12","Medical","Medical - Outpatient and Home Healthcare","115.32","5.26","6.13","6.69"
"Advantage Solutions","ADV","599.74","NSDQ","12","Consumer Discretionary","Consumer Products - Discretionary","1.84",".14",".41",".81"
"Advanced Biomed Inc.","ADVB","9.31","NSDQ","6","Medical","Medical - Biomedical and Genetics",".4301","","",""
"Adverum Biotechnologies","ADVM","63.58","NSDQ","12","Medical","Medical - Biomedical and Genetics","3.03","-6.62","-5.88","-3.45"
"Adams Diversified Equity Fund, Inc.","ADX","2572.49","NYSE","12","Finance","Financial - Investment Funds","21.88","","",""
"Addex Therapeutics","ADXN","8.37","NSDQ","12","Medical","Medical - Drugs","7.9","-6.82","",""
"Ayala Pharmaceuticals, Inc.","ADXS","1.42","OTC","12","Medical","Medical - Drugs",".0333","-7.99","",""
"Adyen","ADYEY","52965.2","OTC","12","Computer and Technology","Internet - Software","16.81",".32",".39",".48"
"AltEnergy Acquisition Corp.","AEAE","74.63","OTC","12","Unclassified","Unclassified","11.91","","",""
"Aebi Schmidt Holding AG","AEBI","940.01","NSDQ","12","Computer and Technology","Internet - Software","12.16","",".39",".92"
"Ameren","AEE","26970.68","NYSE","12","Utilities","Utility - Electric Power","99.74","4.63","4.95","5.31"
"abrdn Emerging Markets ex-China Fund, Inc.","AEF","251.32","AMEX","12","Finance","Financial - Investment Funds","6.19","","",""
"Aegon","AEG","15648.25","NYSE","12","Finance","Insurance - Multi line","7.8",".4","1","1.11"
"Antelope Enterprise Holdings L","AEHL","3.44","NSDQ","12","Conglomerates","Diversified Operations","3.32","-31.81","",""
"Aehr Test Systems","AEHR","809.2","NSDQ","5","Computer and Technology","Electronics - Measuring Instruments","27.05",".15",".06",".15"
"ALSET INC","AEI","58.05","NSDQ","12","Conglomerates","Diversified Operations","1.48","-.43","",""
"Advanced Energy Industries","AEIS","5867.35","NSDQ","12","Computer and Technology","Semiconductor Equipment - Wafer Fabrication","155.55","3.71","5.57","6.48"
"Agnico Eagle Mines","AEM","69946.77","NYSE","12","Basic Materials","Mining - Gold","139.11","4.23","6.93","7.13"
"Aethlon Medical","AEMD","5.3","NSDQ","3","Medical","Medical - HMOs","2.04","-5.63","-1.98","-.57"
"Alliance Entertainment Holding Corporation","AENT","267.78","NSDQ","6","Consumer Discretionary","Media Conglomerates","5.255",".09","",""
"American Eagle Outfitters","AEO","2281.94","NYSE","1","Retail-Wholesale","Retail - Apparel and Shoes","13.17","1.74",".8","1.19"
