Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Last Close,Last Yr`s EPS (F0) Before NRI,F1 Consensus Est.,F2 Consensus Est.
Agilent Technologies,A,32815.16,NYSE,10,Medical,Medical - Products,115.52,5.29,5.58,6.08
Alcoa,AA,7339.88,NYSE,12,Industrial Products,Metal Products - Distribution,28.35,1.35,3.57,2.69
AAC Technologies,AACAY,5920.73,OTC,12,Computer and Technology,Electronics - Miscellaneous Components,5.0394,0.21,0.28,0.33
ATA,AACG,26.17,NSDQ,12,Consumer Discretionary,Schools,0.82,-0.15,,
Ares Acquisition Corporation II,AACT,699.02,NYSE,12,Unclassified,Unclassified,11.3,0.42,,
AIA,AAGIY,92156.76,OTC,12,Finance,Insurance - Life Insurance,34.68,2.48,2.68,3
American Airlines,AAL,6977.64,NSDQ,12,Transportation,Transportation - Airline,10.58,1.96,0.81,1.98
AA Mission Acquisition Corp.,AAM,457.77,NYSE,12,Unclassified,Unclassified,10.41,,,
Altisource Asset Management,AAMCF,1.28,OTC,12,Finance,Financial - Investment Management,0.5,-11.12,,
Atlantic American,AAME,38.14,NSDQ,12,Finance,Insurance - Accident and Health,1.87,-0.27,,
Acadian Asset Management Inc.,AAMI,1125.4,NYSE,12,Finance,Financial - Miscellaneous Services,31.44,2.76,2.86,3.16
Applied Optoelectronics,AAOI,1098.11,NSDQ,12,Computer and Technology,Electronics - Semiconductors,19.77,-0.79,-0.05,0.9
AAON,AAON,5840.46,NSDQ,12,Construction,Building Products - Air Conditioner and Heating,71.78,2.02,2.1,2.78
Advance Auto Parts,AAP,2909.39,NYSE,12,Retail-Wholesale,Automotive - Retail and Wholesale - Parts,48.55,-0.29,1.89,3.22
Ascentage Pharma Group International - Unsponsored ADR,AAPG,3125.84,NSDQ,12,Medical,Medical - Biomedical and Genetics,35.88,-0.72,-1.42,0.53
Apple,AAPL,2936084.75,NSDQ,9,Computer and Technology,Computer - Micro Computers,196.58,6.75,7.11,7.67
"Aardvark Therapeutics, Inc.",AARD,262.09,NSDQ,12,Medical,Medical - Biomedical and Genetics,12.08,-5.15,-2.32,-2.59
Agassi Sports Entertainment Corp.,AASP,51.37,OTCBB,12,Unclassified,Unclassified,5.25,-0.12,,
American Assets Trust,AAT,1242.87,NYSE,12,Finance,REIT and Equity Trust - Retail,20.33,2.58,1.94,2.03
Autoscope Technologies,AATC,40.1,OTC,12,Business Services,Technology Services,7.31,0.82,,
Almaden Minerals,AAUAF,22.41,OTC,12,Basic Materials,Mining - Gold,0.1633,-0.01,,
Allied Gold Corporation,AAUC,1592.23,NYSE,12,Basic Materials,Mining - Gold,13.8,,,
Advantage Oil & Gas,AAVVF,1537.49,OTC,12,Oils-Energy,Alternative Energy - Other,9.2,0.1,0.32,0.8
"Ascend Wellness Holdings, Inc.",AAWH,59.29,OTC,12,Medical,Medical Services,0.29,-0.4,-0.27,-0.2
AllianceBernstein,AB,4414.7,NYSE,12,Finance,Financial - Investment Management,39.88,3.25,3.18,3.44
American Battery Technology Company,ABAT,123.13,NSDQ,6,Computer and Technology,Electronics - Miscellaneous Products,1.34,-0.83,,
ABB,ABBNY,107547.26,OTC,12,Industrial Products,Manufacturing - Electronics,57.802,2.13,2.42,2.67
AbbVie,ABBV,327650.13,NYSE,12,Medical,Large Cap Pharmaceuticals,185.49,10.12,12.28,14.06
Ameris Bancorp,ABCB,4180.14,NYSE,12,Finance,Banks - Southeast,60.66,5.02,5.35,5.8
ABCELLERA BIOLG,ABCL,1035.53,NSDQ,12,Medical,Medical - Biomedical and Genetics,3.47,-0.55,-0.68,-0.64
AmBase,ABCP,24.63,OTCBB,12,Finance,Financial - Investment Management,0.29,-0.09,,
Abeona Therapeutics,ABEO,306.94,NSDQ,12,Medical,Medical - Biomedical and Genetics,6,-1.53,-0.42,0.14
Ambev,ABEV,37975.96,NYSE,12,Consumer Staples,Beverages - Alcohol,2.41,0.18,0.17,0.19
Asbury Automotive Group,ABG,4635.43,NYSE,12,Retail-Wholesale,Automotive - Retail and Whole Sales,235.79,27.24,26.8,26.17
"Abacus Life, Inc.",ABL,550.13,NSDQ,12,Finance,Insurance - Life Insurance,5.68,0.66,0.76,0.96
American Biltrite,ABLT,2.27,OTC,12,Construction,Building Products - Miscellaneous,70.25,-81.71,,
Able View Global Inc.,ABLV,52.85,NSDQ,12,Business Services,Business - Services,1.07,-0.17,,
ABM Industries,ABM,2739.98,NYSE,10,Business Services,Business - Services,44.01,3.57,3.74,4.11
Airbnb,ABNB,82792.97,NSDQ,12,Consumer Discretionary,Leisure and Recreation Services,132.17,4.11,4.18,4.75
Acumen Pharmaceuticals,ABOS,73.9,NSDQ,12,Medical,Medical - Biomedical and Genetics,1.22,-1.71,-2.21,-1.54
Abpro Holdings Inc.,ABP,12.7,NSDQ,12,Medical,Medical - Biomedical and Genetics,0.209,-0.74,,
Arbor Realty Trust,ABR,1965.8,NYSE,12,Finance,REIT and Equity Trust,10.23,1.74,1.17,1.32
ABSCI CORP,ABSI,350.79,NSDQ,12,Medical,Medical - Biomedical and Genetics,2.75,-0.94,-0.68,-0.33
Abbott Laboratories,ABT,230371.75,NYSE,12,Medical,Medical - Products,132.41,4.67,5.16,5.67
ABITS GROUP,ABTS,9.04,NSDQ,12,Business Services,Advertising and Marketing,3.81,-0.39,,
Arbutus Biopharma,ABUS,664.6,NSDQ,12,Medical,Medical - Biomedical and Genetics,3.47,-0.38,-0.23,-0.18
ABVC BIOPHARMA,ABVC,32.94,NSDQ,12,Medical,Medical - Biomedical and Genetics,1.94,-0.42,,
Above Food Ingredients Inc.,ABVE,35.59,NSDQ,12,Consumer Staples,Food - Miscellaneous,1.28,,,
Abivax SA Sponsored ADR,ABVX,383.79,NSDQ,12,Medical,Medical - Biomedical and Genetics,6.05,-3.03,-3.25,-2.84
Associated Capital Group,AC,785.05,NYSE,12,Finance,Financial - Investment Management,37.14,2.08,,
Arcosa,ACA,4247,NYSE,12,Construction,Building Products - Miscellaneous,87,3.02,3.83,4.82
ACADIA Pharmaceuticals,ACAD,3840.96,NSDQ,12,Medical,Medical - Biomedical and Genetics,22.95,0.67,0.5,0.84
Aurora Cannabis,ACB,263.08,NSDQ,3,Medical,Medical - Products,4.68,-0.32,0.44,0.17
Acco Brands,ACCO,305.44,NYSE,12,Industrial Products,Office Supplies,3.39,1.02,0.94,1.08
ACCESS Newswire Inc.,ACCS,44.63,AMEX,12,Consumer Discretionary,Media Conglomerates,11.6,0.21,0.55,
ProFrac Holding Corp.,ACDC,1540.92,NSDQ,12,Oils-Energy,Oil and Gas - Field Services,9.62,-1.38,-0.78,-0.49
Air Canada,ACDVF,4408.45,OTC,12,Transportation,Transportation - Airline,13.66,2.59,1.49,1.87
Accel Entertainment,ACEL,953.91,NYSE,12,Consumer Discretionary,Gaming,11.27,0.91,0.85,0.7
Adicet Bio,ACET,55.33,NSDQ,12,Medical,Medical - Biomedical and Genetics,0.669,-1.33,-1.22,-0.95
Acorn Energy,ACFN,44.25,OTC,12,Computer and Technology,Electronics - Miscellaneous Products,17.75,0.74,,
Agri Bank China,ACGBY,246948.02,OTC,12,Finance,Banks - Foreign,17.64,2.6,,
Arch Capital Group,ACGL,33840.34,NSDQ,12,Finance,Insurance - Property and Casualty,90.3,9.28,7.91,9.5
Acadia Healthcare,ACHC,1982.47,NSDQ,12,Medical,Medical - Hospital,21.52,3.3,2.67,3.12
