MIC,Ticker,Company name,Market capital size (in millions)
XNGS,STNE,"StoneCo Ltd",3718.79
XNGS,TITN,"Titan Machinery Inc",428.24
XNYS,THR,"Thermon Group Holdings Inc",901.34
XNYS,TPH,"Tri Pointe Homes Inc (Delaware)",2756.37
XNGS,TOWN,"TowneBank",2518.52
XNGS,TMUS,"T-Mobile US Inc",278070.51
XNYS,TMHC,"Taylor Morrison Home Corp",5830.36
XNYS,TNET,"TriNet Group Inc",4005.03
XNYS,REZI,"Resideo Technologies Inc",3105.21
XNYS,AGS,"PlayAGS Inc",510.78
XNGS,TEAM,"Atlassian Corp",36122.54
XNGS,TREE,"Lendingtree Inc",474.95
XNGS,TRMB,"Trimble Inc",16977.85
XNGS,TRMK,"Trustmark Corp",2071.36
XNGS,TROW,"T Rowe Price Group Inc",20542.27
XNGS,TRS,"TriMas Corp",1043.73
XNGS,TWST,"Twist Bioscience Corp",1817.26
XNGS,TSCO,"Tractor Supply Co",27278.94
XNGS,TSLA,"Tesla Inc",917006.23
XNGS,AXNX,"Axonics Inc",3627.22
XNYS,UMH,"UMH Properties Inc",1408.26
XNYS,UVE,"Universal Insurance Holdings Inc",772.01
XNGS,TTWO,"Take-Two Interactive Software Inc",40990.48
XNGS,TTMI,"TTM Technologies Inc",3263.35
XNYS,ACA,"Arcosa Inc",4340.73
XNMS,CRMD,"CorMedix Inc",893.93
XNGS,WDAY,"Workday Inc",54021.60
XNGS,UBSI,"United Bankshares Inc",5064.42
XNGS,UCBI,"United Community Banks Inc",3318.08
XNYS,IRT,"Independence Realty Trust Inc",4259.56
XNGS,AXON,"Axon Enterprise Inc",61374.47
XNGS,UCTT,"Ultra Clean Holdings Inc",922.40
XNYS,PFE,"Pfizer Inc",131445.65
XNYS,WSR,"Whitestone REIT",623.98
XNGS,UFPI,"Ufp Industries Inc",5880.65
XNCM,UFPT,"UFP Technologies Inc",1880.31
XNGS,ULTA,"Ulta Beauty Inc",20991.40
XNYS,BKSY,"Blacksky Technology Inc",383.94
XNYS,YELP,"Yelp Inc",2349.40
XNGS,UMBF,"UMB Financial Corp",7731.54
XNYS,UNFI,"United Natural Foods Inc",1657.15
XNCM,RKLB,"Rocket Lab USA Inc",12204.89
XNGS,URBN,"Urban Outfitters Inc",6459.38
XNGS,AGIO,"Agios Pharmaceuticals Inc",1944.79
XNMS,ANIP,"ANI Pharmaceuticals Inc",1296.47
XNGS,VECO,"Veeco Instruments Inc",1216.81
XNGS,PANW,"Palo Alto Networks Inc",131432.95
XNGS,AMRK,"A-Mark Precious Metals Inc",508.25
XNGS,WSFS,"WSFS Financial Corp",2945.02
XNGS,VICR,"Vicor Corp",1483.03
XNCM,XPEL,"Xpel Inc",1012.81
XNGS,ARCB,"ArcBest Corp",1449.60
XNGS,SWTX,"SpringWorks Therapeutics Inc",3526.33
XNCM,AXGN,"AxoGen Inc",491.88
XNYS,SPGI,"S&P Global Inc",158183.59
XNYS,BANC,"Banc of California Inc",2011.41
XNCM,BLFS,"BioLife Solutions Inc",1021.25
XNGS,VRSK,"Verisk Analytics Inc",44845.44
XNGS,VRNT,"Verint Systems Inc",1129.81
XNYS,IFF,"International Flavors & Fragrances Inc",19557.73
XNGS,VRSN,"VeriSign, Inc",26093.87
XNGS,VRTX,"Vertex Pharmaceuticals Inc",113971.73
XNYS,NGVT,"Ingevity Corp",1500.17
XNGS,CDW,"CDW Corp",23154.20
XNGS,VSEC,"VSE Corp",2725.30
XNGS,WABC,"Westamerica Bancorp",1249.87
XNGS,CENTA,"Central Garden & Pet Co",1275.97
XNGS,ELVN,"Enliven Therapeutics Inc",1048.61
XNGS,CHEF,"Chefs' Warehouse Inc",2554.92
XNGS,WERN,"Werner Enterprises Inc",1666.68
XNGS,FOXA,"Fox Corp",13310.68
